"SKU";"Title";"Category";"Description";"Text";"Price";"Quantity";"Photo";"Characteristics:Вес";"Characteristics:Состав";"Characteristics:Срок годности";"Characteristics:Пищевая ценность";"Mark"
"P13";"Пастила груша и яблоко";"Пастила";"50% пюре груши, 50% пюре яблок";"Самая мягкая в линейке. Груша даёт медовую сладость без сахара.";"955";"10";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p13.jpg";"250 г";"50% пюре груши, 50% пюре яблок";"6 месяцев с даты производства";"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г";""
"P14";"Пастила микс вкусов, 350 г";"Пастила";"30% пюре ягоды, 70% пюре яблок";"От 5 до 12 вкусов в одной коробке — набор каждый раз разный. Пастила ручной резки, без сахара.";"1105";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p14.jpg";"350 г";"30% пюре ягоды, 70% пюре яблок";"6 месяцев с даты производства";"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г";"Не в сезоне"
"P15";"Пастила микс вкусов, 250 г";"Пастила";"30% пюре ягоды, 70% пюре яблок";"От 5 до 12 вкусов в одной коробке — набор каждый раз разный. Малая коробка, удобно попробовать.";"955";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/p15.jpg";"250 г";"30% пюре ягоды, 70% пюре яблок";"6 месяцев с даты производства";"178 ккал · белки 0,1 г · жиры 0 г · углеводы 46,6 г";"Не в сезоне"
"Z01";"Зефир микс: мята, лаванда, корица";"Зефир";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Три вкуса в наборе, по три двойных зефирки каждого. Пюре яблок, листья мяты, лавандовый сироп и корица.";"1650";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z01.jpg";"550 г";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z02";"Зефир микс: ревень, вишня, абрикос";"Зефир";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Кисло-сладкое трио. По три двойных зефирки каждого вкуса.";"1650";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z02.jpg";"550 г";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z03";"Зефир микс: черника, клубника, ваниль";"Зефир";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Ягодный набор с ванильной ноткой.";"1750";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z03.jpg";"550 г";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z04";"Зефир микс «На наш вкус»";"Зефир";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Каждый раз разные вкусы: минимум три, максимум девять.";"1750";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z04.jpg";"550 г";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z05";"Зефир ассорти: манго, красный апельсин, ананас";"Зефир";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Тропическое ассорти на яблочном пюре.";"1750";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z05.jpg";"550 г";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z06";"Зефир мятный";"Зефир";"Яблочное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок, мята";"Освежающий мятный зефир ручной работы.";"1350";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z06.jpg";"550 г";"Яблочное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок, мята";"14 суток с даты изготовления";"";"Не в сезоне"
"Z07";"Зефир ванильный";"Зефир";"Яблочное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок, ваниль";"Классика: только яблоко, белок и натуральная ваниль.";"1350";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z07.jpg";"550 г";"Яблочное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок, ваниль";"14 суток с даты изготовления";"";"Не в сезоне"
"Z08";"Зефир с корицей";"Зефир";"Яблочное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок, корица";"Тёплый пряный вкус — хорош к чаю зимой.";"1350";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z08.jpg";"550 г";"Яблочное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок, корица";"14 суток с даты изготовления";"";"Не в сезоне"
"Z09";"Зефир абрикосовый";"Зефир";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Из спелых абрикосов и яблочного пюре.";"1350";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z09.jpg";"550 г";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z10";"Зефир грушевый";"Зефир";"Грушевое пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Медовая сладость груши без добавления сахара в основу.";"1350";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z10.jpg";"550 г";"Грушевое пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z11";"Зефир с ревенём";"Зефир";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Ревень даёт лёгкую кислинку и нежный розовый цвет.";"1350";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z11.jpg";"550 г";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z12";"Зефир из крыжовника";"Зефир";"Яблочное пюре, крыжовник, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Летний вкус, редко встречается у других производителей.";"1350";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z12.jpg";"550 г";"Яблочное пюре, крыжовник, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z13";"Зефир с клубникой";"Зефир";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Клубничный зефир ручной работы.";"1450";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z13.jpg";"550 г";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z14";"Зефир из лесной земляники";"Зефир";"Ягоды земляники, яблочное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Самый редкий: земляника собирается вручную и её всегда мало. Вкус детства в каждой половинке.";"4150";"11";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z14.jpg";"550 г";"Ягоды земляники, яблочное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";""
"Z15";"Зефир из лесной черники";"Зефир";"Ягоды черники, яблочное пюре, агар-агар, сахар, лимонная кислота, яичный белок";"Черника из наших лесов, глубокий цвет и плотный вкус.";"2250";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z15.jpg";"550 г";"Ягоды черники, яблочное пюре, агар-агар, сахар, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z16";"Зефир с красной смородиной";"Зефир";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Кислинка красной смородины на яблочной основе.";"1350";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z16.jpg";"550 г";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z17";"Зефир с хурмой и грецким орехом";"Зефир";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Необычное сочетание: мягкая хурма и хруст ореха.";"1550";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z17.jpg";"550 г";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z18";"Зефир ананасовый";"Зефир";"Яблочное пюре, ананас, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Яркий тропический вкус.";"1550";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z18.jpg";"550 г";"Яблочное пюре, ананас, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z19";"Зефир из манго";"Зефир";"Яблочное пюре, манго, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Из пюре спелого манго и яблок.";"1650";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z19.jpg";"550 г";"Яблочное пюре, манго, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z20";"Зефир из арбуза";"Зефир";"Яблочное пюре, кусочки арбуза, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Летний зефир с арбузным ароматом.";"1350";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z20.jpg";"550 г";"Яблочное пюре, кусочки арбуза, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z21";"Зефир из садовой голубики";"Зефир";"Яблочное пюре, цельные ягоды голубики, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Из ягод с собственных плантаций голубики.";"1550";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z21.jpg";"550 г";"Яблочное пюре, цельные ягоды голубики, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z22";"Зефир мини-микс «На наш вкус»";"Зефир";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"Маленькая коробка ассорти — удобно взять в подарок или попробовать.";"700";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z22.jpg";"250 г";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок";"14 суток с даты изготовления";"";"Не в сезоне"
"Z23";"Зефирные сэндвичи в подарочной коробке";"Зефир";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок, пищевой краситель кондитерский";"Сливочное печенье и зефирный микс в одной коробке.";"1050";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/z23.jpg";"—";"Яблочное пюре, ягодное пюре, агар-агар, сахар, вода, лимонная кислота, яичный белок, пищевой краситель кондитерский";"14 суток с даты изготовления";"";"Не в сезоне"
"M01";"Мармелад микс «на наш вкус», 750 г";"Мармелад";"Ягоды и фрукты, сахар, инвертный сироп, лимонная кислота, пектин";"Ассорти без красителей, консервантов и усилителей вкуса. Состав — только натуральные ингредиенты.";"1350";"6";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/m01.jpg";"750 г";"Ягоды и фрукты, сахар, инвертный сироп, лимонная кислота, пектин";"";"";""
"M02";"Мармелад микс «на наш вкус», 500 г";"Мармелад";"Ягоды и фрукты, сахар, инвертный сироп, лимонная кислота, пектин";"Тот же ассортимент вкусов в упаковке поменьше.";"1100";"10";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/m02.jpg";"500 г";"Ягоды и фрукты, сахар, инвертный сироп, лимонная кислота, пектин";"";"";""
"M03";"Мармелад из киви";"Мармелад";"Киви, сахар, инвертный сироп, лимонная кислота, пектин";"Яркий зелёный мармелад с натуральной кислинкой.";"1100";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/m03.jpg";"500 г";"Киви, сахар, инвертный сироп, лимонная кислота, пектин";"";"";"Не в сезоне"
"M04";"Мармелад из сливы";"Мармелад";"Слива, сахар, инвертный сироп, лимонная кислота, пектин";"Настоящий вкус лета: густой сливовый мармелад.";"1040";"5";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/m04.jpg";"500 г";"Слива, сахар, инвертный сироп, лимонная кислота, пектин";"";"";""
"M05";"Мармелад мандариновый";"Мармелад";"Мандариновый сок, сахар, инвертный сироп, лимонная кислота, пектин";"Цитрусовый вкус без ароматизаторов.";"1100";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/m05.jpg";"500 г";"Мандариновый сок, сахар, инвертный сироп, лимонная кислота, пектин";"";"";"Не в сезоне"
"M06";"Мармелад яблочный";"Мармелад";"Яблочный сок, сахар, инвертный сироп, лимонная кислота, пектин";"Основа всех наших сладостей — яблоко с собственных плантаций.";"1100";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/m06.jpg";"500 г";"Яблочный сок, сахар, инвертный сироп, лимонная кислота, пектин";"";"";"Не в сезоне"
"M07";"Мармелад клюквенный";"Мармелад";"Пюре из клюквы, сахар, инвертный сироп, лимонная кислота, пектин";"Из дикорастущей псковской клюквы.";"1100";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/m07.jpg";"500 г";"Пюре из клюквы, сахар, инвертный сироп, лимонная кислота, пектин";"";"";"Не в сезоне"
"M08";"Мармелад облепиховый";"Мармелад";"Пюре из облепихи, сахар, инвертный сироп, лимонная кислота, пектин";"Облепиха с выраженной кислинкой и ярким цветом.";"1100";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/m08.jpg";"500 г";"Пюре из облепихи, сахар, инвертный сироп, лимонная кислота, пектин";"";"";"Не в сезоне"
"V01";"Варенье из лесной малины";"Варенье и ягоды";"Малина, сахар";"Ароматное варенье из спелой лесной малины. Без красителей и консервантов.";"1250";"13";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/v01.jpg";"250 г";"Малина, сахар";"1 год";"";""
"V02";"Варенье из лесной земляники";"Варенье и ягоды";"Земляника, сахар";"Нежное земляничное варенье. Ягоду собираем вручную, поэтому партии небольшие.";"1700";"6";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/v02.jpg";"250 г";"Земляника, сахар";"1 год";"";""
"V03";"Варенье из морошки";"Варенье и ягоды";"Морошка, сахар";"Редкая северная ягода. Одно из самых ценных варений в линейке.";"1900";"19";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/v03.jpg";"250 г";"Морошка, сахар";"1 год";"";""
"V04";"Варенье из крыжовника";"Варенье и ягоды";"Крыжовник, сахар";"Классическое «царское» варенье с лёгкой кислинкой.";"490";"11";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/v04.jpg";"250 г";"Крыжовник, сахар";"1 год";"";""
"V05";"Варенье брусника с морковкой";"Варенье и ягоды";"Брусника, сахар, морковь";"Необычное сочетание по домашнему рецепту: брусника смягчена морковью.";"890";"14";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/v05.jpg";"250 г";"Брусника, сахар, морковь";"1 год";"";""
"V06";"Варенье брусника с яблоком";"Варенье и ягоды";"Брусника, сахар, яблоки";"Брусника и яблоко с собственных плантаций.";"890";"2";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/v06.jpg";"250 г";"Брусника, сахар, яблоки";"1 год";"";""
"V07";"Черника в собственном соку";"Варенье и ягоды";"100% ягоды лесной черники";"Только ягода и её собственный сок. Без сахара — для морсов, начинок и просто ложкой.";"1300";"14";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/v07.jpg";"250 г";"100% ягоды лесной черники";"1 год";"";""
"T01";"Сбор «Первоцвет» весенний";"Травы и сушёные ягоды";"«Первоцвет» весенний";"Первые дары весны: душица, зверобой, лист малины. На 30–40 чашек.";"455";"41";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/t01.jpg";"90 г";"";"";"";""
"T02";"Душица обыкновенная сушёная";"Травы и сушёные ягоды";"обыкновенная сушёная";"Собрана в экологически чистых местах Псковской области, вдали от трасс.";"290";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/t02.jpg";"30 г";"";"";"";"Не в сезоне"
"T03";"Арония сушёная";"Травы и сушёные ягоды";"сушёная";"Черноплодная рябина, высушенная при низкой температуре.";"340";"11";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/t03.jpg";"200 г";"";"";"";""
"T04";"Клюква в сахарной пудре";"Травы и сушёные ягоды";"в сахарной пудре";"Свежая клюква в лёгкой пудре — конфета, которая осталась ягодой.";"390";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/t04.jpg";"250 г";"";"";"";"Не в сезоне"
"H01";"Мёд цветочный, взбитый с пергой";"Мёд";"Цветочный мёд, перга";"Цветочный мёд, взбитый с пергой — пчелиным хлебом. Кремообразная консистенция и небольшая кислинка.";"1650";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/h01.jpg";"500 г";"Цветочный мёд, перга";"";"";"Не в сезоне"
"H02";"Мёд цветочный, взбитый с прополисом";"Мёд";"Цветочный мёд, прополис";"Цветочный мёд, взбитый с прополисом. Кремообразная консистенция и узнаваемый смолистый привкус.";"1650";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/h02.jpg";"500 г";"Цветочный мёд, прополис";"";"";"Не в сезоне"
"H03";"Медовый набор «4 меда», четыре баночки по 150 г";"Мёд";"Цветочный мёд, пыльца, перга, прополис";"Четыре вида мёда в баночках по 150 г: цветочный, с пыльцой, с пергой и с прополисом. Все — с псковских пасек, без сахара и антибиотиков.";"2350";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/h03.jpg";"4 × 150 г";"Цветочный мёд, пыльца, перга, прополис";"";"";"Не в сезоне"
"Y01";"Голубика садовая, свежая";"Свежие ягоды";"садовая, свежая";"Ягоды с собственных плантаций. Отгружаем в сезон, в день сбора.";"2500";"50";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/y01.jpg";"1 кг";"";"";"";""
"Y02";"Клюква свежая дикорастущая";"Свежие ягоды";"свежая дикорастущая";"Нетто 6 кг в многоразовом пищевом контейнере.";"2550";"0";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/y02.jpg";"6 кг";"";"";"";"Не в сезоне"
"S01";"Саженцы голубики сорт Блюкроп, 2 года";"Сад и дача";"сорт Блюкроп, 2 года";"Двухлетние саженцы садовой голубики сорта Блюкроп.";"1650";"21";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/s01.jpg";"горшок 6 л";"";"";"";""
"S02";"Саженцы голубики сорт Патриот, 2 года";"Сад и дача";"сорт Патриот, 2 года";"Двухлетние саженцы садовой голубики сорта Патриот.";"1650";"28";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/s02.jpg";"горшок 6 л";"";"";"";""
"S03";"Саженцы голубики сорт Блюэтта, 2 года";"Сад и дача";"сорт Блюэтта, 2 года";"Двухлетние саженцы садовой голубики сорта Блюэтта.";"1650";"26";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/s03.jpg";"горшок 6 л";"";"";"";""
"S04";"Саженцы голубики сорт Норд Лэнд, 2 года";"Сад и дача";"сорт Норд Лэнд, 2 года";"Двухлетние саженцы садовой голубики сорта Норд Лэнд.";"1650";"24";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/s04.jpg";"горшок 6 л";"";"";"";""
"S05";"Саженцы клюквы сорт Стивенс, 2 года";"Сад и дача";"сорт Стивенс, 2 года";"Двулетние саженцы садовой клюквы. Цена указана за кассету.";"1250";"12";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/s05.jpg";"кассета 6 ячеек";"";"";"";""
"S06";"Щепа ольховая для копчения, фракция 1–3 см";"Сад и дача";"для копчения, фракция 1–3 см";"Ольховая щепа мелкой фракции — для рыбы и птицы.";"130";"25";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/s06.jpg";"—";"";"";"";""
"S07";"Щепа ольховая для копчения, фракция 3–6 см";"Сад и дача";"для копчения, фракция 3–6 см";"Крупная фракция — для длительного горячего копчения.";"130";"22";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/s07.jpg";"—";"";"";"";""
"S08";"Подставка для цветов уличная, на 4 горшка";"Сад и дача";"уличная, на 4 горшка";"Уличная подставка на четыре горшка диаметром до 21 см.";"2600";"6";"https://vyshka1.github.io/lesnaya-yagodka-demo/import/img/s08.jpg";"до 21 см";"";"";"";""
